experiment_id,desired_scenario,description,top1_candidate_name,top1_do,top1_similarity,reference_rank,reference_similarity,best_competitor_name,best_competitor_similarity,margin_signed,top1_is_reference,is_exact_tie_at_top,top1_matches_baseline
A0,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A0_baseline_full_context,baseline full context,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9763888888888889,1,0.9763888888888889,Parallel Arm Lift — Contact Loss,0.896551724137931,0.07983716475095781,True,False,True
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,omit friction,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),1.0,2,0.9841269841269842,Parallel Arm Lift — Contact Loss,1.0,-0.015873015873015817,False,False,False
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,omit contacts,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9487103174603174,1,0.9487103174603174,Parallel Arm Lift — Contact Loss,0.8333333333333334,0.11537698412698405,True,False,True
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9487103174603174,1,0.9487103174603174,Parallel Arm Lift — Contact Loss,0.8333333333333334,0.11537698412698405,True,False,True
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.9696969696969697,2,0.9444444444444445,Parallel Arm Lift — Contact Loss,0.9696969696969697,-0.025252525252525193,False,False,False
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.9696969696969697,2,0.9444444444444445,Parallel Arm Lift — Contact Loss,0.9696969696969697,-0.025252525252525193,False,False,False
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8736111111111112,1,0.8736111111111112,Parallel Arm Lift — Contact Loss,0.6666666666666666,0.2069444444444446,True,False,True
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.899465811965812,1,0.899465811965812,Cobot Industrial — Incremental Heavy Part Transfer,0.8865480952380951,0.01291771672771691,True,False,True
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8513888888888889,1,0.8513888888888889,Cobot Industrial — Incremental Heavy Part Transfer,0.8406297278911564,0.010759160997732442,True,False,True
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8184941520467836,1,0.8184941520467836,Cobot Industrial — Incremental Heavy Part Transfer,0.8089618883415435,0.009532263705240074,True,False,True
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9833333333333334,1,0.9833333333333334,Parallel Arm Lift — Contact Loss,0.896551724137931,0.08678160919540234,True,False,True
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,friction 0.335,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9819444444444444,1,0.9819444444444444,Parallel Arm Lift — Contact Loss,0.896551724137931,0.08539272030651335,True,False,True
