task_started,object_available,gripper_width_cm,distance_ee_object_cm,grasp_completed,finger_contacts,grasp_attempts,object_lift_height_cm,distance_object_goal_cm,task_aborted,action,current_subtask,anticipated_scenario,SAT
1,1,7,28,0,0,0,0,39,0,,APPROACH_OBJECT,,
1,1,7,25,0,0,0,0,39,0,,APPROACH_OBJECT,,
1,1,7,22,0,0,0,0,39,0,,APPROACH_OBJECT,,
1,1,7,19,0,0,0,0,39,0,,APPROACH_OBJECT,,
1,1,7,16,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,13,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,11,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,9,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,9,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,8,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,4,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,1,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,7,0,0,0,0,0,40,0,,APPROACH_OBJECT,,
1,1,4,0,1,1,1,0,39,0,approach_object,GRASP_OBJECT,APPROACH_OBJECT,True
1,1,4,0,1,1,1,0,39,0,,GRASP_OBJECT,,
1,1,7,0,0,0,1,0,40,0,close_gripper,,GRASP_OBJECT,True
1,1,7,0,0,0,1,0,40,0,,,,
1,1,7,2,0,0,1,0,40,0,,,,
1,1,7,5,0,0,1,0,40,0,,,,
1,1,7,8,0,0,1,0,40,0,,,,
1,1,7,11,0,0,1,0,40,0,,,,
1,1,7,14,0,0,1,0,40,0,,,,
1,1,7,13,0,0,1,0,40,0,,,,
1,1,7,9,0,0,1,0,40,0,,,,
1,1,7,6,0,0,1,0,40,0,,,,
1,1,7,3,0,0,1,0,40,0,,,,
1,1,7,0,0,0,1,0,40,0,,,,
1,1,7,0,0,0,1,0,40,0,,,,
1,1,4,0,1,1,2,0,40,0,,,,True
1,1,7,0,0,0,2,0,40,0,,,,
1,1,7,0,0,0,2,0,40,0,,,,
1,1,7,4,0,0,2,0,39,0,,,,
1,1,7,6,0,0,2,0,39,0,,,,
1,1,7,9,0,0,2,0,39,0,,,,
1,1,7,12,0,0,2,0,39,0,,,,
1,1,7,12,0,0,2,0,39,0,,,,
1,1,7,8,0,0,2,0,39,0,,,,
1,1,7,5,0,0,2,0,39,0,,,,
1,1,7,1,0,0,2,0,39,0,,,,
1,1,7,0,0,0,2,0,39,0,,,,
1,1,4,0,1,1,3,0,39,0,,,,True
1,1,7,0,0,0,3,0,40,0,,,,
1,1,7,3,0,0,3,0,40,0,,,,
1,1,7,5,0,0,3,0,40,0,,,,
1,1,7,9,0,0,3,0,40,0,,,,
1,1,7,12,0,0,3,0,40,0,,,,
1,1,7,15,0,0,3,0,40,0,,,,
1,1,7,18,0,0,3,0,40,0,,,,
1,1,7,22,0,0,3,0,40,0,,,,
1,1,7,25,0,0,3,0,40,0,,,,
1,1,7,23,0,0,3,0,40,0,,,,
1,1,7,20,0,0,3,0,40,0,,,,
1,1,7,21,0,0,3,0,40,0,,,,
1,1,7,23,0,0,3,0,40,0,,,,
1,1,7,25,0,0,3,0,40,0,,,,
1,1,7,27,0,0,3,0,40,0,,,,
1,1,7,30,0,0,3,0,40,0,,,,
1,1,7,32,0,0,3,0,40,0,,,,
1,1,7,34,0,0,3,0,40,1,,,,True
